"","date.ann","Ann.rndys.v"
"1",1960-01-01,42
"2",1961-01-01,62
"3",1962-01-01,71
"4",1963-01-01,70
"5",1964-01-01,40
"6",1965-01-01,71
"7",1966-01-01,44
"8",1967-01-01,56
"9",1968-01-01,101
"10",1969-01-01,58
"11",1970-01-01,62
"12",1971-01-01,62
"13",1972-01-01,46
"14",1973-01-01,61
"15",1974-01-01,63
"16",1975-01-01,57
"17",1976-01-01,54
"18",1977-01-01,35
"19",1978-01-01,45
"20",1979-01-01,72
"21",1980-01-01,66
"22",1981-01-01,55
"23",1982-01-01,58
"24",1983-01-01,36
"25",1984-01-01,54
"26",1985-01-01,46
"27",1986-01-01,49
"28",1987-01-01,56
"29",1988-01-01,55
"30",1989-01-01,47
"31",1990-01-01,48
"32",1991-01-01,64
"33",1992-01-01,49
"34",1993-01-01,48
"35",1994-01-01,52
"36",1995-01-01,56
"37",1996-01-01,54
"38",1997-01-01,69
"39",1998-01-01,30
"40",1999-01-01,58
"41",2000-01-01,38
"42",2001-01-01,51
"43",2002-01-01,57
"44",2003-01-01,50
"45",2004-01-01,53
"46",2005-01-01,55
"47",2006-01-01,62
"48",2007-01-01,62
"49",2008-01-01,65
"50",2009-01-01,46
"51",2010-01-01,73
"52",2011-01-01,67
"53",2012-01-01,53
"54",2013-01-01,49
"55",2014-01-01,65
"56",2015-01-01,61
"57",2016-01-01,62
"58",2017-01-01,67
"59",2018-01-01,42
